disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Allergic reactions,Hives especially over neck and face,Itching,Nasal congestion,Rashes,Watery red eyes,Abdominal pain,Abnormal highpitched breathing sounds,Anxiety,Chest discomfort or tightness,Cough,Diarrhea,Difficulty breathing wheezing,Difficulty swallowing,Dizziness or lightheadedness,Flushing or redness of face,Nauseaor vomiting,Palpitations,Swelling of face eyes or tongue,Unconsciousness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergic rhinitis,Itchy nose mouth eyes throat skin or any area,Problems with smell,Runny nose,Sneezing,Watery eyes,Stuffy nose nasal congestion,Coughing,Clogged ears and decreased sense of smell,Sore throat,Dark circles under eyes,Puffiness under eyes,Fatigue and irritability,Headache ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe,Breathing difficulty from breathing inproduct that contains aloe,Diarrhea,Loss of vision,Rash,Severe abdominal pain,Skin irritation,Throat swelling which may also cause breathing difficulty,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecia areata,A few people may also feelburning sensation or itching,Alopecia areata usually begins as one to several 1 cm to 4 cm patches of hair loss,Hair loss is most often seen on scalp,It may also occur in beard eyebrows pubic hair and arms or legs in some people,Nail pitting may also occur,Patches where hair has fallen out are smooth and round in shapey may be peach coloured,Hairs that look like exclamation points are sometimes seen at edges ofbald patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha-1 antitrypsin deficiency,Loss of weight without trying,Wheezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alport syndrome,Abnormal urine color,Blood in urine which can be worsened by upper respiratory infections or exercise,Flank pain,High blood pressure,Swelling throughout body,Alport syndrome also leads to hearing loss,"By early teens it is common in males with xlas, though in females hearing loss is not as common and happens wheny're adults","With aras, boys and girls have hearing loss during childhood",With adas it occurs later in life,Hearing loss usually occurs before kidney failure,Alport syndrome also leads to eye problems including abnormal shape of lens anterior lenticonus which can lead toslow decline in vision as well as cataracts,Corneal erosion in whichre is loss of outer layer of covering of eyeball leading to pain itching or redness of eye or blurred vision,Abnormal coloring of retinacondition called dotandfleck retinopathy it doesnot cause vision problems but can help diagnose alport syndrome,Macular hole in whichre is thinning orbreak in macula,The macula ispart of retina that makes central vision sharper and more detailed,A macular hole causes blurred or distorted central vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstrom syndrome,Blindness or severe vision impairment in infancy,Dark patches of skin acanthosis nigricans,Deafness,Impaired heart function cardiomyopathy which may lead to heart failure,Obesity,Progressive kidney failure,Slowed growth,Gastrointestinal reflux,Hypothyroidism,Liver dysfunction,Small penis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer disease,Emotional behavior or personality,"Language,memory,perception thinking and judgement cognitive skills",Alzheimer disease usually first appears as forgetfulness,Mild cognitive impairment  is stage between normal forgetfulness due to aging and development of disease,People have mild problems with thinking and memory that do not interfere with daily activitiesy are often aware of forgetfulness,Difficulty performing more than one task attime,Difficulty solving problems,Forgetting recent events or conversations,Taking longer to perform more difficult activities,Difficulty performing tasks that take some thought but used to come easily such as balancingcheckbook playing complex games bridge and learning new information or routines,Getting lost on familiar routes,Language problems such as trouble remembering names of familiar objects,Losing interest in things previously enjoyed and being inflat mood,Misplacing items,Personality changes and loss of social skills,Change in sleep patterns often waking up at night,Delusions depression and agitation,Difficulty doing basic tasks such as preparing meals choosing proper clothing and driving,Difficulty reading or writing,Forgetting details about current events,Forgetting events in ones life history and losing selfawareness,Hallucinations arguments striking out and violent behavior,Poor judgment and loss of ability to recognize danger,Using wrong word mispronouncing words or speaking in confusing sentences,Withdrawing from social contact,People with severe disease can no longer recognize family members,Perform basic activities of daily living such as eating dressing and bathing and understanding language,Problems controlling bowel movements or urine,Swallowing problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaurosis fugax,This usually lasts forfew seconds to several minutes,Afterward vision returns to normal,Some people describe loss of vision asgray or black shade coming down over eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblyopia,Eyes that turn in or out,Eyes that do not appear to work together,Inability to judge depth correctly,Poor vision in one eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amebiasis,Abdominal cramps,Diarrhea passage of 3 to 8 semiformed stools per day or passage of soft stools with mucus and occasional blood,Fatigue,Excessive gas,Rectal pain while havingbowel movement tenesmus,Unintentional weight loss,Abdominal tenderness,Bloody stools including passage of liquid stools with streaks of blood passage of 10 to 20 stools per day,Fever,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amebic liver abscess,Abdominal pain more so in right upper part of abdomen pain is intense continuous or stabbing,Cough,Fever and chills,Diarrhea in only onethird of patients,General discomfort uneasiness or ill feeling malaise,Hiccups that do not stop rare,"Jaundice
   yellowing of skin mucous membranes or eyes",Loss of appetite,Sweating,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelogenesis imperfecta,The enamel of tooth is soft and thin,The teeth appear yellow and are easily damaged,Both baby teeth and permanent teeth can be affected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aminophylline overdose,Increased appetite,Increased thirst,Nausea,Vomiting possibly with blood,High or low blood pressure,Irregular heartbeat,Rapid heart rate,Pounding heartbeat palpitations,Breathing difficulty,Muscle twitching and cramping,Confusion hallucination,Convulsions,Dizziness,Fever,Headache,Irritability restlessness,Confused thinking poor judgment and agitation psychosis,Sweating,Trouble sleeping,Nausea,Vomiting,Irregular heartbeat,Low blood pressure,Rapid heartbeat,Shock,Rapid deep breathing,Muscle cramps,Twitching,Convulsions,Irritability,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amitriptyline and perphenazine overdose,Slowed breathing,No breathing,Hard to start urinating and urine stream may be weak,Inability to completely empty bladder,Blurred vision,Dry mouth,Enlarged pupils,Nasal congestion,Unpleasant taste in mouth,Irregular heartbeat,Low blood pressure severe,Rapid heartbeat,Shock,Muscles are rigid,Muscle spasms,Stiff muscles in neck face or back,Agitation,Coma decreased level of consciousness and lack of responsiveness,Seizures,Delirium,Disorientation,Drowsiness,Lower than normal body temperature,Restlessness,Uncoordinated movement,Tremor,Weakness,Change in menstrual patterns,Itchy skin,Rash,Constipation,Loss of appetite,Nausea and vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amitriptyline hydrochloride overdose,Slowed labored breathing,Cannot urinate,Urine does not flow easily,Blurred vision,Dilated wide pupils,Dry mouth,Irregular heart rate,Low blood pressure,Rapid heartbeat,Shock,Agitation,Coma,Seizures,Drowsiness,Hallucinations,Headache,Inability to concentrate,Lack of alertness stupor,Muscle rigidity,Restlessness,Uncoordinated movement,Constipation,Increased appetite,Weight gain,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia poisoning,Cough,Chest pain severe,Chest tightness,Difficulty breathing,Rapid breathing,Wheezing,Fever,Tearing and burning of eyes,Temporary blindness,Throat pain severe,Mouth pain,Lip swelling,Rapid weak pulse,Collapse and shock,Confusion,Difficulty walking,Dizziness,Lack of coordination,Restlessness,Stupor altered level of consciousness,Bluishcolored lips and fingernails,Severe burns if contact is longer thanfew minutes,Severe stomach pain,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonium hydroxide poisoning,Breathing difficulty if ammonia is inhaled,Coughing,Throat swelling can also cause breathing difficulty,Wheezing,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Vision loss,Blood in stool,Burns of esophagus food pipe and stomach,Severe abdominal pain,Vomiting possibly with blood,Collapse,Low blood pressure develops rapidly,Severe change in ph too much or too little acid in blood which leads to damage in all of body organs,Burns,Holes in skin tissue,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amniotic band sequence,Abnormal gap in face if it goes across face it is calledcleft,All or part offinger toe arm or leg missing congenital amputation,Defect of abdomen or chest wall if band is located in those areas,Permanent band or indentation aroundarm leg finger or toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyotrophic lateral sclerosis (ALS),Difficulty lifting climbing stairs and walking,Difficulty breathing,Difficulty swallowing  choking easily drooling or gagging,Head drop due to weakness of neck muscles,Speech problems such asslow or abnormal speech pattern slurring of words,Voice changes hoarseness,Depression,Muscle cramps,Muscle stiffness called spasticity,Muscle contractions called fasciculations,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anal cancer,A lump in or near anus,Anal pain,Itching,Discharge from anus,Change in bowel habits,Swollen lymph nodes in groin or anal region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anal fissure,An anal fissure can be seen ascrack in anal skin when area is stretched slightly,The fissure is almost always in middle,Anal fissures may cause painful bowel movements and bleeding,There may be blood on outside of stool or on toilet paper or baby wipes afterbowel movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analgesic nephropathy,Fatigue weakness,Increased urinary frequency or urgency,Blood in urine,Flank pain or back pain,Decreased urine output,Decreased alertness including drowsiness confusion and lethargy,Decreased sensation numbness especially in legs,Nausea vomiting,Easy bruising or bleeding,Swellingedema throughout body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaphylaxis,Abdominal pain,Feeling anxious,Chest discomfort or tightness,Diarrhea,Difficulty breathing coughing wheezing or highpitched breathing sounds,Difficulty swallowing,Dizziness or lightheadedness,Hives itchiness redness of skin,Nasal congestion,Nausea or vomiting,Palpitations,Slurred speech,Swelling of face eyes or tongue,Unconsciousness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaplastic thyroid cancer,Cough,Coughing up blood,Difficulty swallowing,Hoarseness or changing voice,Loud breathing,Lower neck lump which often grows quickly,Pain,Vocal cord paralysis,Overactive thyroid hyperthyroidism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Androgen insensitivity syndrome,A vagina but no cervix or uterus,Inguinal hernia with testes that can be felt duringphysical exam,Normal female breasts,Testes in abdomen or other atypical places in body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemia,Feeling weak or tired more often than usual or with exercise,Headaches,Problems concentrating or thinking,Irritability,Loss of appetite,Numbness and tingling of hands and feet,Blue color to whites of eyes,Brittle nails,Desire to eat ice or other nonfood things pica syndrome,Lightheadedness when you stand up,Pale skin color,Shortness of breath with mild activity or even at rest,Sore or inflamed tongue,Mouth ulcers,Abnormal or increased menstrual bleeding in females,Loss of sexual desire in men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemia caused by low iron - children,Act irritable,Become short of breath,Crave unusual foods pica,Eat less food,Feel tired or weak all time,Havesore tongue,Have headaches or dizziness,Bluetinged or very pale whites of eyes,Brittle nails,Pale skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemia of chronic disease,Feeling weak or tired,Headache,Paleness,Shortness of breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anencephaly,Absence of skull,Absence of parts of brain,Facial feature abnormalities,Heart defects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneurysm,If aneurysm occurs near bodys surface pain and swelling withthrobbing lump is often seen,Aneurysms in brain may expand without breaking open rupturing,The expanded aneurysm may press on nerves and cause double vision dizziness or headaches,Some aneurysms may cause ringing in ears,Ifaneurysm ruptures pain low blood pressurerapid heart rate and lightheadedness may occur,Whenbrain aneurysm rupturesre issudden severe headache that some people say is worst headache of my life,The risk of coma or death afterrupture is high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneurysm in brain,Double vision,Loss of vision,Headaches,Eye pain,Neck pain,Stiff neck,Ringing in ears,Confusion no energy sleepiness stupor or coma,Eyelid drooping,Headaches with nausea or vomiting,Muscle weakness or difficulty moving any part of body,Numbness or decreased sensation in any part of body,Problems speaking,Seizures,Stiff neck occasionally,Vision changes double vision loss of vision,Loss of consciousness,A ruptured aneurysm ismedical emergency,Call your local emergency number such as 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelman syndrome ,Loss of muscle tone floppiness,Trouble feeding,Heartburn acid reflux,Trembling arm and leg movements,In toddlers and older children unstable or jerky walking,Little or no speech,Happy excitable personality,Laughing and smiling often,Light hair skin and eye color compared to rest of family,Small head size compared to body flattened back of head,Severe intellectual disability,Seizures,Excessive movement of hands and limbs,Sleep problems,Tongue thrusting drooling,Unusual chewing and mouthing movements,Walking with arms uplifted and hands waving,This is when parents may noticedelay inir childs development such as not crawling or starting to talk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angiodysplasia of colon,Weakness,Fatigue,Shortness of breath due to anemia,They may not have bleeding directly from colon,Other people may have bouts of mild or severe bleeding in which bright red or black blood comes from rectum,There is no pain associated with angiodysplasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angioedema,Abdominal cramping,Breathing difficulty,Swollen eyes and mouth,Swollen lining of eyes chemosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankylosing spondylitis,The joints of shoulders knees and ankles which may be swollen and painful,The joints between your ribs and breastbone so that you cannot expand your chest fully,The eye which may have swelling and redness,Slight fever,Psoriasis,Ulcerative colitis or,Crohn disease,Recurring or chronic eye inflammation iritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annular pancreas,Fullness after eating,Nausea or vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomalous left coronary artery from pulmonary artery,Crying or sweating during feeding,Irritability,Pale skin,Poor feeding,Rapid breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorchia,Normal outside genitals before puberty,Failure to start puberty at correct time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorectal abscess,Constipation,Discharge of pus from rectum,Fatigue fever night sweats and chills,Redness painful and hardened tissue in area of anus,Tenderness,In infants abscess often appears asswollen red tender lump at edge of anus,The infant may be fussy and irritable from discomfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorexia,Hasintense fear of gaining weight or becoming fat even when underweight,Refuses to keep weight at what is considered normal forir age and height 15 or more below normal weight,Hasbody image that is very distorted be very focused on body weight or shape and refuse to admit danger of weight loss,People with anorexia may severely limit amount of foody eat,Ory eat andn makemselves throw up,Cutting food into small pieces or movingm around plate instead of eating,Exercising all time even when weather is bady are hurt orir schedule is busy,Going to bathroom right after meals,Refusing to eat around other people,Using pills to makemselves urinate water pills or diuretics havebowel movement enemas and laxatives or decreaseir appetite diet pills,Blotchy or yellow skin that is dry and covered with fine hair,Confused or slow thinking along with poor memory or judgment,Depression,Dry mouth,Extreme sensitivity to cold wearing several layers of clothing to stay warm,Thinning of bones osteoporosis,Wasting away of muscle and loss of body fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
